# m1[Msun], m2[Msun], f_gw[Hz], inclination[rad], x_gal[kpc], y_gal[kpc], z_gal[kpc], Pala_reassigned
0.7004236144,0.0756179217,0.0003922953,0.8031655680,-7.9940573515,-0.0274660543,-0.0440005329,1.0000000000
0.6977885504,0.0690120623,0.0004034300,0.3482663702,-8.3611494297,0.1472471368,0.0579277276,0.0000000000
0.6985584900,0.1424410194,0.0002875546,2.1322320462,-8.1180256360,0.1009219294,0.0203762164,1.0000000000
0.7003382872,0.0987063883,0.0003530382,1.3304527882,-8.2561256175,0.0121573656,0.1407886206,0.0000000000
0.6998647007,0.1059037522,0.0003391380,1.0688986679,-8.0410778425,0.0769193348,-0.0863891800,0.0000000000
0.7006311101,0.1585079298,0.0002701554,1.6385806058,-8.3520520654,-0.0943170703,-0.0935750642,0.0000000000
0.6992907658,0.1995292115,0.0002472172,0.4527123415,-8.1390136263,0.2524871654,-0.0255019294,0.0000000000
0.7000157974,0.0835295509,0.0003826555,2.8504496183,-8.2696903949,-0.0747262387,0.1704571623,0.0000000000
0.6993291914,0.1254164501,0.0003098145,1.8270468135,-7.9090571258,-0.0793321578,0.0897255772,0.0000000000
0.6993792561,0.1898043498,0.0002456561,1.5354640039,-8.1026494027,0.2111391825,0.1427439975,0.0000000000
0.6996293315,0.0662996417,0.0004044116,1.4619620560,-7.9916166694,-0.0858106153,-0.0116567381,0.0000000000
0.7004717483,0.0543974116,0.0004083466,1.8489613973,-8.1591839560,0.0228978960,0.0321037721,1.0000000000
0.7011451725,0.0909639269,0.0003669052,2.6125784990,-7.9920145372,-0.0274479607,0.0582341053,1.0000000000
0.6997683408,0.0534857283,0.0004325072,2.5751178139,-8.0915459118,-0.0080215803,-0.0835591121,1.0000000000
0.7013500976,0.0421588777,0.0004278752,2.1429079975,-8.1363855755,-0.2198478947,0.0789944914,0.0000000000
0.6998599609,0.1423777457,0.0002875855,1.8243551873,-8.1257617392,0.0879585011,-0.0045001350,2.0000000000
0.7003548727,0.1196823654,0.0003171184,0.9057670460,-7.9291081090,0.1112896007,0.2141975179,0.0000000000
