recno,M1,M2,R2,Per,Sep,logJ,logjsys,logjmg,logjgr,logjca,logjtot,logMLR2,zeta,logT2,log(g2),logL2,Pdot,logt,logt0,Step,Teff2,UxMag,BxMag,BMag,VMag,RMag,IMag,JMag,HMag,KMag,LMag,L'Mag,M'Mag,X,SpT
1,0.75,0.04,0.103,1.4987,0.612,50.203,33.243,33.017,32.85,30.747,33.244,-10.789,0.063,3.121,5.012,29.048,2.64E-14,9.52767,9.43844,6.15E7,1321,32.89,27.47,27.54,24.68,20.46,17.51,13.66,13.62,13.47,12.74,11.51,11.56,,T
2,0.75,0.041,0.103,1.4845,0.608,50.213,33.273,33.048,32.881,30.799,33.275,-10.759,0.063,3.135,5.022,29.107,2.63E-14,9.51967,9.42859,5.74E7,1365,32.54,27.13,27.21,24.46,20.26,17.31,13.52,13.46,13.33,12.55,11.4,11.51,,T
3,0.75,0.042,0.104,1.4713,0.605,50.222,33.303,33.078,32.91,30.847,33.304,-10.73,0.073,3.149,5.031,29.164,2.62E-14,9.51207,9.41919,5.37E7,1409,32.15,26.77,26.84,24.2,20.03,17.08,13.35,13.28,13.16,12.35,11.26,11.43,,T
4,0.75,0.043,0.104,1.459,0.602,50.23,33.332,33.106,32.939,30.893,33.333,-10.703,0.082,3.162,5.039,29.217,2.57E-14,9.50483,9.41022,5.04E7,1452,31.82,26.46,26.53,23.95,19.81,16.86,13.22,13.12,13.02,12.2,11.16,11.39,,T
5,0.75,0.044,0.104,1.4476,0.599,50.239,33.359,33.134,32.966,30.937,33.361,-10.676,0.094,3.175,5.047,29.27,2.54E-14,9.49793,9.40162,4.74E7,1496,31.47,26.13,26.2,23.68,19.58,16.64,13.07,12.96,12.88,12.04,11.05,11.34,,T
6,0.75,0.045,0.104,1.437,0.596,50.248,33.386,33.16,32.993,30.981,33.387,-10.65,0.104,3.187,5.055,29.32,2.51E-14,9.49134,9.39337,4.47E7,1538,31.17,25.86,25.92,23.42,19.35,16.45,12.96,12.82,12.75,11.91,10.97,11.3,,T
7,0.75,0.046,0.104,1.4272,0.594,50.256,33.411,33.186,33.019,31.023,33.413,-10.626,0.113,3.198,5.062,29.368,2.46E-14,9.48503,9.38546,4.22E7,1578,30.9,25.6,25.67,23.18,19.14,16.27,12.85,12.7,12.64,11.79,10.89,11.26,,T
8,0.75,0.047,0.105,1.4181,0.592,50.264,33.436,33.211,33.043,31.064,33.438,-10.602,0.123,3.209,5.069,29.415,2.41E-14,9.47899,9.37784,4.0E7,1618,30.61,25.34,25.41,22.92,18.92,16.08,12.72,12.55,12.49,11.65,10.79,11.19,,T
9,0.75,0.048,0.105,1.4097,0.59,50.272,33.46,33.235,33.067,31.103,33.462,-10.58,0.132,3.219,5.076,29.459,2.29E-14,9.47319,9.37051,3.8E7,1656,30.37,25.14,25.21,22.7,18.75,15.94,12.63,12.45,12.37,11.53,10.71,11.15,,T
10,0.75,0.049,0.105,1.402,0.588,50.28,33.483,33.258,33.09,31.141,33.485,-10.558,0.146,3.23,5.082,29.503,2.18E-14,9.4676,9.36342,3.62E7,1698,30.1,24.91,24.98,22.45,18.56,15.79,12.54,12.33,12.23,11.39,10.63,11.11,,T
11,0.75,0.05,0.106,1.3951,0.586,50.288,33.505,33.28,33.113,31.177,33.507,-10.539,0.158,3.24,5.088,29.546,2.04E-14,9.46222,9.35656,3.46E7,1738,30.26,25.37,25.44,22.48,18.94,16.35,12.79,12.23,11.88,11.02,10.44,10.79,,T
12,0.75,0.051,0.106,1.3889,0.585,50.296,33.527,33.301,33.134,31.212,33.529,-10.52,0.172,3.25,5.094,29.589,1.87E-14,9.45701,9.34991,3.31E7,1778,30.46,25.89,25.96,22.55,19.38,16.99,13.1,12.15,11.53,10.66,10.25,10.47,3.38,L6.6
13,0.75,0.052,0.106,1.3835,0.583,50.304,33.547,33.322,33.154,31.245,33.549,-10.502,0.187,3.26,5.099,29.631,1.7E-14,9.45196,9.34344,3.18E7,1820,30.23,25.83,25.9,22.34,19.34,17.04,13.08,12.02,11.31,10.44,10.14,10.3,-0.53,T
14,0.75,0.053,0.107,1.3788,0.582,50.311,33.567,33.341,33.174,31.278,33.569,-10.485,0.202,3.269,5.104,29.671,1.5E-14,9.44706,9.33714,3.05E7,1858,29.58,25.15,25.23,21.85,18.81,16.46,12.72,11.82,11.21,10.4,10.09,10.26,5.73,L4.3
15,0.75,0.054,0.107,1.3748,0.581,50.319,33.586,33.36,33.193,31.309,33.588,-10.469,0.218,3.278,5.109,29.711,1.31E-14,9.4423,9.33099,2.94E7,1897,28.94,24.49,24.56,21.37,18.29,15.89,12.37,11.63,11.13,10.37,10.06,10.25,9.69,L0.3
16,0.75,0.055,0.108,1.3714,0.581,50.326,33.604,33.378,33.211,31.339,33.606,-10.453,0.232,3.286,5.113,29.749,1.13E-14,9.43766,9.32499,2.84E7,1932,28.81,24.39,24.47,21.29,18.19,15.78,12.28,11.56,11.08,10.33,10.01,10.21,9.99,L0.0
17,0.75,0.056,0.108,1.3686,0.58,50.333,33.621,33.396,33.228,31.368,33.624,-10.438,0.246,3.295,5.117,29.786,9.39E-15,9.43314,9.31912,2.74E7,1972,28.73,24.37,24.44,21.27,18.15,15.73,12.24,11.52,11.04,10.31,9.99,10.2,10.07,M9.9
18,0.75,0.057,0.109,1.3663,0.58,50.341,33.638,33.412,33.245,31.397,33.64,-10.424,0.26,3.303,5.121,29.821,7.56E-15,9.42872,9.31337,2.65E7,2009,28.56,24.23,24.31,21.17,18.08,15.65,12.16,11.45,10.97,10.26,9.94,10.17,10.14,M9.9
19,0.75,0.058,0.109,1.3646,0.579,50.348,33.654,33.428,33.261,31.425,33.656,-10.41,0.273,3.31,5.124,29.855,5.5E-15,9.42441,9.30773,2.57E7,2042,28.21,23.91,23.98,20.97,18.01,15.56,12.07,11.36,10.9,10.2,9.89,10.15,10.23,M9.8
20,0.75,0.059,0.11,1.3633,0.579,50.355,33.669,33.444,33.277,31.452,33.672,-10.398,0.287,3.317,5.127,29.888,2.84E-15,9.42018,9.3022,2.5E7,2075,27.84,23.55,23.62,20.75,17.92,15.45,11.95,11.24,10.81,10.13,9.83,10.11,10.31,M9.7
21,0.75,0.06,0.11,1.3627,0.579,50.362,33.684,33.459,33.291,31.477,33.687,-10.386,0.304,3.324,5.13,29.921,4.7E-16,9.41603,9.29675,2.44E7,2109,27.48,23.22,23.28,20.54,17.84,15.36,11.85,11.15,10.73,10.08,9.78,10.09,10.4,M9.6
22,0.75,0.061,0.111,1.3626,0.58,50.369,33.698,33.473,33.305,31.501,33.701,-10.375,0.32,3.331,5.133,29.952,-1.79E-15,9.41196,9.29137,2.37E7,2143,27.1,22.85,22.92,20.31,17.75,15.25,11.73,11.03,10.64,10.0,9.72,10.05,10.49,M9.5
23,0.75,0.062,0.112,1.363,0.58,50.376,33.712,33.486,33.319,31.526,33.714,-10.364,0.334,3.337,5.135,29.983,-3.74E-15,9.40795,9.28607,2.31E7,2173,26.76,22.53,22.6,20.11,17.66,15.15,11.62,10.93,10.56,9.94,9.66,10.02,10.57,M9.4
24,0.75,0.063,0.112,1.3637,0.58,50.383,33.724,33.499,33.332,31.549,33.727,-10.354,0.346,3.343,5.137,30.012,-5.96E-15,9.40401,9.28085,2.26E7,2203,26.45,22.23,22.3,19.93,17.6,15.07,11.53,10.85,10.49,9.89,9.62,10.0,10.65,M9.3
25,0.75,0.064,0.113,1.3649,0.581,50.39,33.737,33.512,33.344,31.572,33.74,-10.344,0.359,3.349,5.139,30.04,-8.33E-15,9.40012,9.27568,2.21E7,2234,26.11,21.91,21.97,19.72,17.51,14.97,11.42,10.74,10.41,9.82,9.56,9.96,10.73,M9.3
26,0.75,0.065,0.113,1.3665,0.582,50.396,33.749,33.523,33.356,31.594,33.752,-10.335,0.374,3.355,5.141,30.068,-1.08E-14,9.39629,9.27057,2.16E7,2265,25.78,21.59,21.66,19.53,17.44,14.88,11.33,10.66,10.34,9.77,9.51,9.95,10.81,M9.2
27,0.75,0.066,0.114,1.3686,0.582,50.403,33.76,33.535,33.368,31.615,33.763,-10.327,0.389,3.361,5.142,30.095,-1.34E-14,9.3925,9.2655,2.12E7,2296,25.43,21.26,21.33,19.32,17.35,14.78,11.22,10.55,10.25,9.71,9.45,9.91,10.89,M9.1
28,0.75,0.067,0.115,1.3711,0.583,50.41,33.771,33.546,33.378,31.636,33.774,-10.319,0.404,3.366,5.144,30.121,-1.59E-14,9.38875,9.26047,2.08E7,2323,25.09,21.02,21.09,19.12,17.2,14.65,11.15,10.49,10.19,9.66,9.41,9.86,11.16,M8.8
29,0.75,0.068,0.116,1.374,0.584,50.416,33.781,33.556,33.389,31.656,33.785,-10.312,0.418,3.371,5.145,30.147,-1.85E-14,9.38504,9.25547,2.05E7,2350,24.74,20.79,20.86,18.91,17.04,14.52,11.09,10.43,10.13,9.61,9.37,9.81,11.44,M8.6
30,0.75,0.069,0.116,1.3773,0.586,50.423,33.791,33.566,33.399,31.675,33.795,-10.305,0.433,3.376,5.146,30.172,-2.08E-14,9.38135,9.2505,2.02E7,2377,24.41,20.58,20.64,18.71,16.89,14.41,11.04,10.39,10.08,9.58,9.34,9.77,11.7,M8.3
31,0.75,0.07,0.117,1.381,0.587,50.429,33.801,33.575,33.408,31.693,33.804,-10.298,0.447,3.381,5.146,30.197,-2.33E-14,9.3777,9.24556,1.99E7,2404,24.05,20.34,20.41,18.5,16.72,14.27,10.98,10.33,10.02,9.53,9.3,9.72,11.93,M8.1
32,0.75,0.071,0.118,1.385,0.588,50.436,33.81,33.584,33.417,31.711,33.813,-10.292,0.461,3.385,5.147,30.221,-2.58E-14,9.37407,9.24063,1.96E7,2427,23.78,20.16,20.22,18.33,16.58,14.16,10.93,10.28,9.97,9.49,9.27,9.67,12.1,M7.9
33,0.75,0.072,0.119,1.3895,0.59,50.442,33.818,33.593,33.426,31.729,33.822,-10.287,0.476,3.389,5.147,30.244,-2.84E-14,9.37046,9.23571,1.94E7,2449,23.5,19.97,20.03,18.16,16.45,14.05,10.88,10.23,9.92,9.45,9.23,9.63,12.26,M7.7
34,0.75,0.073,0.119,1.3943,0.591,50.448,33.826,33.601,33.434,31.745,33.83,-10.281,0.491,3.394,5.147,30.267,-3.04E-14,9.36686,9.2308,1.91E7,2477,23.17,19.76,19.81,17.97,16.29,13.93,10.83,10.19,9.88,9.43,9.21,9.59,12.44,M7.6
35,0.75,0.074,0.12,1.3994,0.593,50.455,33.834,33.609,33.442,31.762,33.838,-10.275,0.503,3.398,5.147,30.289,-3.2E-14,9.36328,9.2259,1.88E7,2500,22.88,19.56,19.62,17.8,16.15,13.82,10.78,10.14,9.83,9.39,9.17,9.54,12.58,M7.4
36,0.75,0.075,0.121,1.4047,0.595,50.461,33.842,33.616,33.449,31.779,33.845,-10.27,0.512,3.401,5.147,30.31,-3.4E-14,9.35972,9.221,1.86E7,2518,22.68,19.42,19.48,17.67,16.04,13.73,10.74,10.1,9.79,9.35,9.14,9.51,12.67,M7.3
37,0.75,0.076,0.122,1.4102,0.597,50.467,33.849,33.624,33.456,31.795,33.853,-10.265,0.523,3.405,5.147,30.33,-3.6E-14,9.35617,9.21611,1.84E7,2541,22.42,19.24,19.29,17.5,15.9,13.62,10.69,10.06,9.74,9.31,9.11,9.46,12.78,M7.2
38,0.75,0.077,0.123,1.416,0.598,50.473,33.856,33.63,33.463,31.811,33.86,-10.261,0.534,3.409,5.146,30.35,-3.77E-14,9.35264,9.21122,1.82E7,2564,22.15,19.05,19.11,17.33,15.76,13.51,10.64,10.01,9.69,9.27,9.07,9.42,12.89,M7.1
39,0.75,0.078,0.124,1.4221,0.6,50.479,33.862,33.637,33.47,31.826,33.866,-10.256,0.544,3.412,5.146,30.369,-3.91E-14,9.34911,9.20632,1.8E7,2582,21.94,18.91,18.96,17.2,15.65,13.42,10.6,9.97,9.65,9.24,9.04,9.38,12.97,M7.0
40,0.75,0.079,0.124,1.4282,0.602,50.485,33.869,33.643,33.476,31.842,33.873,-10.251,0.552,3.415,5.145,30.388,-4.05E-14,9.34559,9.20143,1.78E7,2600,21.75,18.78,18.83,17.09,15.55,13.35,10.57,9.95,9.63,9.22,9.03,9.36,13.04,M7.0
41,0.75,0.08,0.125,1.4346,0.604,50.491,33.875,33.649,33.482,31.857,33.879,-10.247,0.559,3.418,5.145,30.406,-4.2E-14,9.34208,9.19653,1.77E7,2618,21.55,18.64,18.69,16.96,15.44,13.27,10.53,9.91,9.59,9.19,9.0,9.32,13.11,M6.9
42,0.75,0.081,0.126,1.4411,0.606,50.497,33.881,33.655,33.488,31.872,33.885,-10.243,0.568,3.421,5.144,30.424,-4.35E-14,9.33857,9.19162,1.75E7,2636,21.35,18.5,18.55,16.83,15.33,13.18,10.49,9.87,9.55,9.16,8.97,9.28,13.17,M6.8
43,0.75,0.082,0.127,1.4478,0.609,50.503,33.886,33.661,33.493,31.886,33.89,-10.24,0.577,3.424,5.143,30.441,-4.5E-14,9.33507,9.1867,1.74E7,2655,21.14,18.36,18.41,16.7,15.22,13.09,10.45,9.83,9.51,9.13,8.94,9.24,13.24,M6.8
44,0.75,0.083,0.128,1.4546,0.611,50.508,33.892,33.666,33.499,31.9,33.896,-10.236,0.585,3.426,5.142,30.458,-4.64E-14,9.33157,9.18177,1.72E7,2667,21.0,18.25,18.3,16.61,15.14,13.03,10.42,9.8,9.48,9.1,8.91,9.21,13.28,M6.7
45,0.75,0.084,0.129,1.4616,0.613,50.514,33.897,33.671,33.504,31.914,33.901,-10.232,0.593,3.429,5.141,30.474,-4.76E-14,9.32807,9.17682,1.71E7,2685,20.8,18.11,18.16,16.47,15.03,12.94,10.38,9.76,9.44,9.07,8.88,9.18,13.34,M6.7
46,0.75,0.085,0.13,1.4687,0.615,50.52,33.902,33.676,33.509,31.927,33.906,-10.229,0.599,3.431,5.14,30.49,-4.84E-14,9.32457,9.17185,1.69E7,2698,20.65,18.01,18.06,16.38,14.95,12.88,10.35,9.73,9.41,9.04,8.86,9.15,13.38,M6.6
47,0.75,0.086,0.131,1.4759,0.617,50.525,33.907,33.681,33.514,31.941,33.911,-10.225,0.604,3.434,5.139,30.505,-4.96E-14,9.32108,9.16688,1.68E7,2716,20.47,17.87,17.92,16.26,14.84,12.79,10.31,9.69,9.37,9.01,8.83,9.11,13.44,M6.6
48,0.75,0.087,0.132,1.4832,0.62,50.531,33.911,33.686,33.519,31.954,33.916,-10.222,0.61,3.436,5.138,30.521,-5.08E-14,9.31758,9.16188,1.67E7,2729,20.34,17.78,17.83,16.17,14.76,12.73,10.27,9.66,9.34,8.98,8.81,9.08,13.48,M6.5
49,0.75,0.088,0.133,1.4906,0.622,50.536,33.916,33.69,33.523,31.967,33.921,-10.219,0.617,3.438,5.137,30.535,-5.18E-14,9.31408,9.15686,1.66E7,2742,20.21,17.68,17.73,16.08,14.68,12.67,10.24,9.63,9.31,8.95,8.78,9.05,13.52,M6.5
50,0.75,0.089,0.134,1.4982,0.624,50.542,33.92,33.695,33.528,31.98,33.925,-10.216,0.623,3.44,5.136,30.55,-5.3E-14,9.31058,9.15182,1.65E7,2754,20.08,17.59,17.63,15.99,14.61,12.61,10.21,9.6,9.28,8.93,8.76,9.02,13.56,M6.4
51,0.75,0.09,0.135,1.5058,0.627,50.547,33.924,33.699,33.532,31.992,33.929,-10.214,0.63,3.442,5.134,30.564,-5.41E-14,9.30707,9.14675,1.64E7,2767,19.94,17.49,17.54,15.9,14.53,12.55,10.18,9.57,9.25,8.9,8.73,8.99,13.6,M6.4
52,0.75,0.091,0.135,1.5136,0.629,50.553,33.928,33.703,33.536,32.004,33.934,-10.211,0.636,3.444,5.133,30.578,-5.52E-14,9.30355,9.14166,1.63E7,2780,19.83,17.41,17.45,15.83,14.47,12.5,10.16,9.55,9.24,8.89,8.72,8.98,13.64,M6.4
53,0.75,0.092,0.136,1.5215,0.632,50.558,33.932,33.707,33.54,32.016,33.938,-10.208,0.643,3.446,5.132,30.592,-5.59E-14,9.30002,9.13653,1.62E7,2793,19.7,17.31,17.36,15.74,14.39,12.44,10.13,9.52,9.21,8.86,8.7,8.95,13.69,M6.3
54,0.75,0.093,0.137,1.5294,0.634,50.563,33.936,33.711,33.543,32.028,33.941,-10.206,0.647,3.448,5.13,30.605,-5.65E-14,9.29649,9.13137,1.61E7,2805,19.57,17.22,17.26,15.65,14.31,12.38,10.1,9.49,9.18,8.84,8.68,8.92,13.73,M6.3
55,0.75,0.094,0.138,1.5373,0.636,50.569,33.94,33.714,33.547,32.04,33.945,-10.203,0.65,3.45,5.129,30.618,-5.73E-14,9.29296,9.12619,1.6E7,2818,19.45,17.13,17.17,15.57,14.24,12.33,10.07,9.46,9.15,8.81,8.65,8.89,13.77,M6.2
56,0.75,0.095,0.139,1.5454,0.639,50.574,33.943,33.718,33.551,32.052,33.949,-10.201,0.655,3.451,5.127,30.631,-5.8E-14,9.28941,9.12097,1.59E7,2825,19.37,17.07,17.12,15.52,14.19,12.29,10.05,9.44,9.13,8.79,8.63,8.87,13.79,M6.2
57,0.75,0.096,0.14,1.5534,0.641,50.579,33.947,33.721,33.554,32.063,33.953,-10.198,0.659,3.453,5.126,30.644,-5.86E-14,9.28585,9.11572,1.58E7,2838,19.25,16.98,17.03,15.43,14.12,12.23,10.02,9.41,9.1,8.77,8.61,8.84,13.84,M6.2
58,0.75,0.097,0.141,1.5615,0.644,50.584,33.95,33.725,33.558,32.075,33.956,-10.196,0.662,3.454,5.125,30.656,-5.93E-14,9.28229,9.11044,1.57E7,2844,19.18,16.93,16.97,15.38,14.07,12.19,9.99,9.39,9.08,8.75,8.59,8.82,13.86,M6.1
59,0.75,0.098,0.142,1.5697,0.646,50.589,33.954,33.728,33.561,32.086,33.959,-10.194,0.666,3.456,5.123,30.668,-6.0E-14,9.27872,9.10512,1.56E7,2858,19.06,16.84,16.88,15.3,14.0,12.14,9.96,9.36,9.05,8.72,8.57,8.8,13.91,M6.1
60,0.75,0.099,0.143,1.5779,0.649,50.594,33.957,33.731,33.564,32.097,33.963,-10.192,0.67,3.457,5.122,30.68,-6.07E-14,9.27513,9.09977,1.55E7,2864,18.99,16.78,16.83,15.25,13.95,12.1,9.94,9.34,9.02,8.7,8.55,8.77,13.93,M6.1
61,0.75,0.1,0.144,1.5862,0.651,50.599,33.96,33.734,33.567,32.108,33.966,-10.19,0.674,3.459,5.12,30.691,-6.14E-14,9.27154,9.09437,1.55E7,2877,18.86,16.69,16.73,15.16,13.88,12.04,9.91,9.31,9.0,8.68,8.52,8.75,13.98,M6.0
62,0.75,0.101,0.145,1.5945,0.654,50.604,33.963,33.737,33.57,32.118,33.969,-10.188,0.679,3.46,5.119,30.703,-6.19E-14,9.26792,9.08893,1.54E7,2884,18.79,16.64,16.68,15.11,13.83,12.0,9.89,9.29,8.97,8.66,8.51,8.72,14.01,M6.0
63,0.75,0.102,0.146,1.6029,0.656,50.609,33.966,33.74,33.573,32.129,33.972,-10.185,0.683,3.462,5.117,30.714,-6.24E-14,9.2643,9.08344,1.53E7,2897,18.67,16.54,16.59,15.03,13.76,11.95,9.86,9.26,8.95,8.63,8.48,8.7,14.06,M5.9
64,0.75,0.103,0.147,1.6112,0.659,50.614,33.969,33.743,33.576,32.139,33.975,-10.183,0.685,3.463,5.115,30.725,-6.26E-14,9.26066,9.07791,1.52E7,2904,18.6,16.49,16.53,14.98,13.72,11.91,9.83,9.24,8.92,8.61,8.46,8.68,14.09,M5.9
65,0.75,0.104,0.148,1.6196,0.662,50.618,33.971,33.746,33.579,32.15,33.978,-10.181,0.686,3.464,5.114,30.736,-6.29E-14,9.25702,9.07234,1.52E7,2911,18.54,16.44,16.48,14.93,13.67,11.88,9.81,9.21,8.9,8.59,8.45,8.65,14.11,M5.9
66,0.75,0.105,0.149,1.628,0.664,50.623,33.974,33.749,33.581,32.161,33.981,-10.179,0.688,3.465,5.112,30.746,-6.32E-14,9.25335,9.06673,1.51E7,2917,18.48,16.39,16.43,14.88,13.63,11.84,9.79,9.19,8.88,8.57,8.43,8.63,14.14,M5.9
67,0.75,0.106,0.15,1.6363,0.667,50.628,33.977,33.751,33.584,32.171,33.984,-10.177,0.69,3.466,5.111,30.756,-6.36E-14,9.24968,9.06107,1.5E7,2924,18.41,16.34,16.38,14.84,13.59,11.81,9.77,9.17,8.86,8.55,8.41,8.61,14.16,M5.8
68,0.75,0.107,0.151,1.6447,0.669,50.632,33.979,33.754,33.587,32.181,33.986,-10.175,0.692,3.468,5.109,30.766,-6.38E-14,9.24599,9.05536,1.5E7,2938,18.3,16.26,16.3,14.76,13.52,11.76,9.74,9.14,8.83,8.53,8.39,8.59,14.22,M5.8
69,0.75,0.108,0.152,1.6531,0.672,50.637,33.982,33.757,33.589,32.191,33.989,-10.173,0.693,3.469,5.108,30.777,-6.42E-14,9.24229,9.04961,1.49E7,2944,18.24,16.21,16.25,14.71,13.48,11.72,9.72,9.12,8.81,8.51,8.37,8.57,14.24,M5.8
70,0.75,0.109,0.153,1.6614,0.674,50.642,33.985,33.759,33.592,32.201,33.992,-10.171,0.695,3.47,5.106,30.786,-6.44E-14,9.23857,9.0438,1.48E7,2951,18.17,16.16,16.2,14.66,13.44,11.69,9.7,9.1,8.79,8.49,8.35,8.55,14.27,M5.7
71,0.75,0.11,0.154,1.6698,0.677,50.646,33.987,33.762,33.594,32.211,33.994,-10.169,0.696,3.471,5.104,30.796,-6.47E-14,9.23484,9.03795,1.48E7,2958,18.11,16.11,16.15,14.62,13.39,11.66,9.67,9.08,8.77,8.47,8.33,8.53,14.3,M5.7
72,0.75,0.111,0.155,1.6782,0.679,50.651,33.99,33.764,33.597,32.221,33.997,-10.167,0.698,3.472,5.103,30.806,-6.51E-14,9.2311,9.03204,1.47E7,2965,18.04,16.06,16.1,14.57,13.35,11.62,9.65,9.06,8.75,8.45,8.31,8.51,14.33,M5.7
73,0.75,0.112,0.156,1.6866,0.682,50.655,33.992,33.767,33.599,32.23,33.999,-10.166,0.701,3.473,5.101,30.815,-6.56E-14,9.22733,9.02607,1.46E7,2972,17.98,16.01,16.05,14.52,13.31,11.59,9.63,9.04,8.73,8.43,8.29,8.49,14.36,M5.6
74,0.75,0.113,0.157,1.695,0.684,50.659,33.994,33.769,33.602,32.239,34.002,-10.164,0.704,3.474,5.1,30.825,-6.56E-14,9.22355,9.02004,1.46E7,2979,17.92,15.96,16.0,14.48,13.27,11.55,9.61,9.02,8.71,8.41,8.28,8.47,14.39,M5.6
75,0.75,0.114,0.158,1.7034,0.687,50.664,33.997,33.771,33.604,32.249,34.004,-10.162,0.703,3.475,5.098,30.834,-6.61E-14,9.21975,9.01395,1.45E7,2985,17.85,15.91,15.95,14.43,13.23,11.52,9.59,9.0,8.69,8.39,8.26,8.45,14.42,M5.6
76,0.75,0.115,0.159,1.7118,0.689,50.668,33.999,33.774,33.606,32.258,34.007,-10.161,0.707,3.476,5.097,30.843,-6.68E-14,9.21593,9.0078,1.45E7,2992,17.79,15.86,15.9,14.38,13.18,11.49,9.57,8.98,8.67,8.38,8.24,8.43,14.45,M5.5
77,0.75,0.116,0.16,1.7203,0.692,50.672,34.001,33.776,33.608,32.267,34.009,-10.159,0.711,3.477,5.095,30.852,-6.66E-14,9.21209,9.00158,1.44E7,2999,17.72,15.81,15.85,14.34,13.14,11.45,9.55,8.95,8.65,8.36,8.22,8.41,14.48,M5.5
78,0.75,0.117,0.161,1.7287,0.694,50.677,34.003,33.778,33.611,32.276,34.011,-10.157,0.71,3.478,5.094,30.861,-6.66E-14,9.20823,8.99529,1.44E7,3006,17.67,15.76,15.8,14.29,13.1,11.42,9.53,8.93,8.63,8.34,8.21,8.39,14.51,M5.5
79,0.75,0.118,0.162,1.7371,0.697,50.681,34.005,33.78,33.613,32.286,34.014,-10.155,0.71,3.478,5.092,30.869,-6.7E-14,9.20435,8.98895,1.43E7,3006,17.65,15.75,15.79,14.28,13.09,11.41,9.51,8.92,8.61,8.33,8.19,8.37,14.51,M5.5
80,0.75,0.119,0.163,1.7455,0.699,50.685,34.008,33.782,33.615,32.294,34.016,-10.153,0.713,3.479,5.09,30.878,-6.67E-14,9.20045,8.98253,1.42E7,3013,17.59,15.7,15.74,14.23,13.05,11.38,9.49,8.9,8.59,8.31,8.17,8.36,14.54,M5.5
81,0.75,0.12,0.164,1.7538,0.702,50.689,34.01,33.784,33.617,32.304,34.018,-10.151,0.71,3.48,5.089,30.886,-6.67E-14,9.19654,8.97605,1.42E7,3020,17.54,15.65,15.69,14.19,13.01,11.35,9.47,8.88,8.57,8.29,8.16,8.34,14.57,M5.4
82,0.75,0.121,0.165,1.7621,0.704,50.693,34.012,33.786,33.619,32.313,34.02,-10.15,0.71,3.481,5.087,30.894,-6.69E-14,9.19261,8.9695,1.41E7,3027,17.48,15.61,15.65,14.15,12.97,11.32,9.45,8.86,8.55,8.27,8.14,8.32,14.6,M5.4
83,0.75,0.122,0.166,1.7703,0.707,50.697,34.014,33.788,33.621,32.322,34.023,-10.148,0.711,3.482,5.086,30.902,-6.7E-14,9.18866,8.96287,1.4E7,3034,17.42,15.56,15.6,14.1,12.93,11.28,9.43,8.84,8.54,8.25,8.12,8.3,14.63,M5.4
84,0.75,0.123,0.167,1.7786,0.709,50.702,34.016,33.79,33.623,32.331,34.025,-10.146,0.712,3.482,5.084,30.91,-6.7E-14,9.18469,8.95617,1.4E7,3034,17.41,15.55,15.59,14.09,12.92,11.27,9.42,8.83,8.52,8.24,8.11,8.29,14.63,M5.4
85,0.75,0.124,0.168,1.7868,0.712,50.706,34.018,33.793,33.625,32.34,34.027,-10.144,0.712,3.483,5.083,30.918,-6.71E-14,9.1807,8.9494,1.39E7,3041,17.35,15.5,15.54,14.05,12.88,11.24,9.4,8.81,8.5,8.22,8.09,8.27,14.66,M5.3
86,0.75,0.125,0.169,1.795,0.714,50.71,34.02,33.795,33.627,32.348,34.029,-10.142,0.712,3.484,5.081,30.926,-6.72E-14,9.17669,8.94254,1.39E7,3048,17.29,15.46,15.5,14.0,12.84,11.21,9.38,8.79,8.48,8.2,8.08,8.25,14.69,M5.3
87,0.75,0.126,0.169,1.8032,0.717,50.713,34.022,33.797,33.629,32.357,34.031,-10.141,0.713,3.484,5.08,30.934,-6.72E-14,9.17265,8.9356,1.38E7,3048,17.29,15.46,15.49,14.0,12.84,11.21,9.38,8.79,8.48,8.2,8.08,8.25,14.69,M5.3
88,0.75,0.127,0.17,1.8113,0.719,50.717,34.024,33.798,33.631,32.365,34.033,-10.139,0.713,3.485,5.078,30.941,-6.74E-14,9.1686,8.92858,1.38E7,3055,17.23,15.41,15.45,13.96,12.8,11.18,9.35,8.77,8.46,8.19,8.06,8.23,14.73,M5.3
89,0.75,0.128,0.171,1.8195,0.722,50.721,34.026,33.8,33.633,32.374,34.035,-10.137,0.714,3.486,5.077,30.949,-6.74E-14,9.16452,8.92147,1.37E7,3062,17.17,15.36,15.4,13.92,12.76,11.15,9.33,8.75,8.44,8.17,8.04,8.21,14.76,M5.2
90,0.75,0.129,0.172,1.8276,0.724,50.725,34.028,33.802,33.635,32.382,34.037,-10.135,0.713,3.486,5.076,30.956,-6.73E-14,9.16042,8.91427,1.37E7,3062,17.16,15.35,15.39,13.91,12.75,11.14,9.32,8.73,8.43,8.16,8.03,8.2,14.76,M5.2
91,0.75,0.13,0.173,1.8356,0.726,50.729,34.03,33.804,33.637,32.391,34.04,-10.134,0.713,3.487,5.074,30.964,-6.74E-14,9.1563,8.90699,1.36E7,3069,17.1,15.31,15.34,13.86,12.71,11.1,9.3,8.71,8.41,8.14,8.01,8.18,14.79,M5.2
