# m1[Msun], m2[Msun], f_gw[Hz], inclination[rad], x_gal[kpc], y_gal[kpc], z_gal[kpc], Pala_reassigned
6.993739848306628204e-01,1.498201354332332480e-01,2.797374239138921705e-04,1.337679000243825911e+00,-8.005469756821192107e+00,3.184620444838108799e-01,-5.092623838709077200e-01,0.000000000000000000e+00
7.007608927884673156e-01,4.270151650397333021e-02,4.336606415447571972e-04,1.609595179750731964e+00,-7.884732201015729913e+00,-1.158087617108329026e-01,2.670049120752107652e-01,0.000000000000000000e+00
6.996625755329616281e-01,1.385888445250403056e-01,2.916288403651303416e-04,1.833935867739118430e+00,-7.613958861153418134e+00,-6.641846190859547472e-02,2.333237976617077714e-01,0.000000000000000000e+00
7.012218577281923437e-01,1.132319040316558806e-01,3.244987865182409397e-04,2.590545373381723859e+00,-7.934339060490485984e+00,1.895026328515892478e-01,-2.722100116230931066e-01,0.000000000000000000e+00
7.013499447232920403e-01,5.876486608006288581e-02,4.065952671058758756e-04,1.131633306060030986e+00,-8.348829428107453765e+00,-2.917041579957093123e-01,4.831602732810575396e-01,0.000000000000000000e+00
7.022234820638747488e-01,1.456714135440169144e-01,2.829871947575101471e-04,2.129901515476809504e+00,-8.047460519822488223e+00,-3.557006809250986556e-01,6.515176654674201817e-01,0.000000000000000000e+00
7.017690922530581688e-01,1.671252638480703046e-01,2.634548155697683382e-04,1.804026166027043132e+00,-8.820262809354698419e+00,-2.382600875808149610e-01,3.003782764888110468e-01,0.000000000000000000e+00
6.995367381444008714e-01,5.597803220299855248e-02,3.770778788140189200e-04,1.475887957471014422e+00,-8.451802368615030758e+00,-2.001041684445988289e-01,3.043548336566267443e-01,0.000000000000000000e+00
6.993727027234913907e-01,3.998194155937877248e-02,4.257166072455629982e-04,1.238910998355025050e+00,-8.377173226075440127e+00,2.836412428079963521e-01,-5.194798621611058653e-01,0.000000000000000000e+00
6.998124282979124589e-01,1.332508845760027039e-01,2.977335093653833719e-04,5.415650145940241744e-01,-8.801592497618603517e+00,-2.120870872046704270e-01,2.583403788225646647e-01,0.000000000000000000e+00
7.008797932172996514e-01,1.396526210016245384e-01,2.911009540326697873e-04,1.896512681718736548e+00,-7.465138672650724061e+00,1.540337374179933938e-01,-1.208350183652522197e-01,0.000000000000000000e+00
7.017239914672429579e-01,4.362910346102460979e-02,3.741262366705227138e-04,7.833163467515944500e-01,-8.238215873503339282e+00,3.646684033877701792e-01,-6.335713730317562575e-01,0.000000000000000000e+00
6.987220136165899209e-01,1.337805512230569038e-01,2.973063815286268907e-04,2.376603367402856382e+00,-7.844053459014386220e+00,-3.397533203625550668e-01,6.628126948014237962e-01,0.000000000000000000e+00
6.994000633134361822e-01,1.675542159182197288e-01,2.643058704556824662e-04,1.595012439072148291e+00,-8.411371696693922928e+00,-5.235286160475981221e-02,5.644057376919543734e-02,0.000000000000000000e+00
7.006137737769916329e-01,4.001387802049213849e-01,1.266447251424861534e-04,1.705008643741311225e+00,-8.213795569694601895e+00,-2.171108482387812677e-01,3.798992805779758397e-01,0.000000000000000000e+00
6.987407270681966764e-01,1.681957718168002602e-01,2.614494199281152537e-04,1.435580255808983630e+00,-8.387081052790030355e+00,-2.017509713149966966e-01,3.194384113260524960e-01,0.000000000000000000e+00
6.997571765320341752e-01,1.123542504790585039e-01,3.285760758731537000e-04,1.509883979737085768e+00,-8.331641978146185679e+00,3.011202581405213463e-01,-5.411178761779540380e-01,0.000000000000000000e+00
6.999227557964405877e-01,1.439596823356262545e-01,2.857458522848370071e-04,1.610781078209989836e+00,-8.601973496118924700e+00,5.139975460936400953e-02,-1.599107587313362833e-01,0.000000000000000000e+00
6.984450256129153267e-01,1.091709631799746422e-01,3.329027327487406904e-04,9.077963756236699933e-01,-8.844885923897223279e+00,-1.647921581490994769e-01,1.683109302668903129e-01,0.000000000000000000e+00
6.999563566967453854e-01,4.280088391073495063e-02,4.151499584919189374e-04,6.993420147379956209e-01,-7.916358823311181681e+00,-3.706734421404008634e-02,1.243455067173043910e-01,0.000000000000000000e+00
6.989711999340728621e-01,4.022237999264430264e-02,4.257720241146601813e-04,1.132086173426188669e+00,-7.789008513483911322e+00,-1.085342047142159316e-01,2.726718257748027008e-01,0.000000000000000000e+00
6.990987550865630507e-01,1.533789710674883511e-01,2.758136038883152999e-04,8.662773181491882912e-01,-7.543769721351266000e+00,2.431456674928486328e-01,-2.902031699735557191e-01,0.000000000000000000e+00
7.004332428903702334e-01,1.066541789936790025e-01,3.413185522212830382e-04,8.293460427170320504e-01,-7.542544209952456669e+00,2.396766303537057330e-01,-2.836400895995186966e-01,0.000000000000000000e+00
7.007364259504251791e-01,1.262210341374100653e-01,3.101910673701197625e-04,2.083558432326386711e+00,-7.519756214215289170e+00,-9.423211491933564110e-02,2.994086146668589743e-01,0.000000000000000000e+00
6.984573656540706832e-01,9.459621245862935568e-02,3.613748000727761778e-04,2.208027796782150887e+00,-7.369042884188926834e+00,3.151590684424260269e-02,1.101016559114260801e-01,0.000000000000000000e+00
6.992581545159757273e-01,7.098689035506260403e-01,8.664331446432941718e-05,2.112110743271302216e+00,-7.909679918749407790e+00,1.104946060107621364e-02,4.227910805607350275e-02,0.000000000000000000e+00
7.000731846579894002e-01,7.395239186686329846e-01,8.375791944690379035e-05,1.715233437366475266e+00,-8.663388583848878000e+00,2.293151431425748676e-01,-4.802799703107903384e-01,0.000000000000000000e+00
7.001516522510305984e-01,4.737150275465117771e-02,3.806333710701375749e-04,2.140598651569062927e+00,-7.673108199568615895e+00,6.608302964951395797e-02,-8.266062456058136804e-03,0.000000000000000000e+00
7.005337657065420220e-01,1.297033603253227030e-01,3.010986948546289367e-04,2.325699733865808305e+00,-8.312642371916499684e+00,3.376022724475633563e-01,-6.013183100026422423e-01,0.000000000000000000e+00
6.970396953755619851e-01,1.013605043129285899e-01,3.472168610479262822e-04,2.186854740837048450e+00,-7.651810497919870890e+00,2.908925511225100013e-01,-3.935429496833054430e-01,0.000000000000000000e+00
6.987801436427719670e-01,9.449421268552082864e-02,3.602713631278415510e-04,2.036885085569565046e+00,-8.704700206146574359e+00,1.357058043298983441e-01,-3.261232407199026739e-01,0.000000000000000000e+00
6.992694687033569334e-01,1.196399946060442004e-01,3.184574999301003186e-04,2.038083099974540957e+00,-7.593188504141421546e+00,2.808749655210392993e-01,-3.649111813682351935e-01,0.000000000000000000e+00
7.009831223708066217e-01,5.399474416275591715e-02,4.325072444963453137e-04,9.494693718747390099e-01,-8.091545911816831804e+00,-8.021580312605039453e-03,-8.355911207832859844e-02,1.000000000000000000e+00
6.989751720088436260e-01,3.996925930379797293e-02,4.089641464085225632e-04,8.993245690419140459e-01,-7.969799646675054028e+00,-1.891084873946112799e-01,3.779754649480278617e-01,0.000000000000000000e+00
6.998188154050555276e-01,2.884894881346315443e-01,1.468429201421291312e-04,2.083617392699326221e+00,-7.870681672145749985e+00,2.946045518495103988e-01,-4.418005783894316529e-01,0.000000000000000000e+00
7.000239904236145172e-01,8.997455443307557366e-02,3.678253361023926175e-04,1.419861323400759545e+00,-7.828547785638619416e+00,-1.931199711854308387e-01,4.121276902191273184e-01,0.000000000000000000e+00
7.003335143140403396e-01,7.234633202087217829e-02,3.969618015171463106e-04,9.721813206474713143e-01,-7.989001471728576220e+00,4.893473521405557192e-02,-3.831542120205787272e-02,0.000000000000000000e+00
6.992258940306276260e-01,1.214677412746531238e-01,3.124795391330492406e-04,1.052078709706375736e+00,-8.562953424473295883e+00,-1.939613653900385259e-01,2.726837134736803114e-01,0.000000000000000000e+00
6.994206010951984354e-01,1.274752194128211391e-01,3.052930653711391040e-04,1.272407572765291039e+00,-7.982689164144442628e+00,-3.577767803281220460e-01,6.678414989210422759e-01,0.000000000000000000e+00
7.003514294179806754e-01,4.117732444525732532e-02,4.275376240145828139e-04,1.647966067616074337e+00,-8.674675415916986765e+00,1.502108904888607988e-01,-3.456021027968042003e-01,0.000000000000000000e+00
6.987191768624242405e-01,3.078635238406499108e-01,1.428223521956744756e-04,2.527386621933103150e+00,-8.427814933948171827e+00,-1.170333632558130665e-01,1.654063689259837877e-01,0.000000000000000000e+00
7.005927373672757863e-01,1.675210992543806066e-01,2.612444755407154697e-04,3.071646686008008498e+00,-7.878128342675465134e+00,-1.764646802179341001e-01,3.735360736060580611e-01,0.000000000000000000e+00
7.016614921618331557e-01,1.060836541232435953e-01,3.437453837487309898e-04,2.063493576056489420e+00,-8.575758698181076056e+00,6.168994127296358043e-02,-1.728971986298204200e-01,0.000000000000000000e+00
7.005222106615752731e-01,9.413742349666386067e-02,3.611945124780023748e-04,1.381046490003744021e+00,-7.566162012493037103e+00,3.257203724140299017e-01,-4.372028041132533516e-01,0.000000000000000000e+00
6.987475110811496304e-01,4.034865261799721464e-02,4.104747162797381865e-04,1.922904295102099148e+00,-7.455713576131034692e+00,9.419713177587968334e-02,-1.517955354692151690e-02,0.000000000000000000e+00
7.008122162333065841e-01,4.677220517223205642e-01,1.164634654347851406e-04,1.304557225662120956e+00,-8.231745313456206858e+00,8.196198127958061186e-02,-1.420795712291312296e-01,0.000000000000000000e+00
6.981043019699438856e-01,4.118492746719686071e-02,4.333809967966696479e-04,1.294947493975235453e+00,-7.536330701826104317e+00,-1.925351734410262194e-01,4.668317543098223221e-01,0.000000000000000000e+00
7.006506637739772225e-01,2.905255161576107970e-01,1.469567445340194862e-04,1.119133686401271088e+00,-7.964088727495481024e+00,3.737899490735382968e-02,-1.346545216271567355e-02,0.000000000000000000e+00
6.996713829366406623e-01,4.247554711644885295e-02,4.162766617562391452e-04,1.813593570040680003e+00,-8.398116848929774392e+00,-1.805335678757427065e-01,2.809273464292198486e-01,0.000000000000000000e+00
7.006538841444408527e-01,1.702330987767854409e-01,2.598024459400197781e-04,3.504470069136139121e-01,-7.442793872945856926e+00,2.387658663279087490e-01,-2.630745096999140831e-01,0.000000000000000000e+00
7.002852420452029270e-01,1.600018406716584574e-01,2.693524283969214988e-04,2.691793387818202987e+00,-8.726888500137579996e+00,-2.184151737662493598e-01,2.840644918210226688e-01,0.000000000000000000e+00
7.014529173854712196e-01,6.070114933291114595e-02,4.065797347154059848e-04,1.180773800306024413e+00,-7.577195848457636274e+00,2.272582648381356873e-01,-2.689606212618295134e-01,0.000000000000000000e+00
7.013375763824110098e-01,1.988241615531494422e-01,1.725669956520338021e-04,1.428006515872762172e+00,-7.947244441322816932e+00,3.053957901714816209e-02,8.915556623522551127e-04,0.000000000000000000e+00
7.009659283896431115e-01,8.489839040463562081e-02,3.764286088766974282e-04,2.796845637864359357e+00,-7.949454594704232768e+00,-1.914786544411390679e-01,3.854221019898435019e-01,0.000000000000000000e+00
6.998095683373195541e-01,1.241958322749296961e-01,3.097423559628105006e-04,1.705192209295509409e+00,-8.012628917018735919e+00,8.108976921965019291e-02,-9.851915084735178574e-02,0.000000000000000000e+00
6.986960017045713567e-01,1.776467152441289499e-01,2.554315863182723902e-04,1.251728477594105993e+00,-8.074179071452487477e+00,2.697727016306108311e-02,-1.682543166439222707e-02,0.000000000000000000e+00
7.005431341994394767e-01,1.274678489168484530e-01,3.037345198724703248e-04,1.181007210774675631e+00,-8.597388813395040685e+00,-3.101566214959997625e-01,4.673968023792473558e-01,0.000000000000000000e+00
7.002748259281204035e-01,1.038970517226531498e-01,3.453826051772245572e-04,2.863765282192715755e+00,-8.322716588431525508e+00,-8.311158611205123059e-02,1.267805024327475771e-01,0.000000000000000000e+00
6.996935638789355538e-01,1.191532514320848973e-01,3.166660046166349350e-04,1.701392133259832740e+00,-8.438624086157275883e+00,-4.627564408232087700e-02,4.048360009610481314e-02,0.000000000000000000e+00
7.001700630670470993e-01,9.491500943884816077e-02,3.598938489234240344e-04,2.052996285195042514e+00,-7.907263524576817026e+00,2.159226825031753672e-01,-3.122702004213749327e-01,0.000000000000000000e+00
7.017744458493606619e-01,5.012488764159633847e-02,3.841742548104444847e-04,1.957614342447603129e+00,-8.648901998617773756e+00,-3.275577754218064186e-01,4.878377445251913525e-01,0.000000000000000000e+00
7.018385532110146263e-01,9.543441393833339281e-02,3.574811526383595136e-04,2.505453665787679807e+00,-8.594022686384445109e+00,3.337455134858390016e-02,-1.271574850234116760e-01,0.000000000000000000e+00
6.998252686433110714e-01,1.618511460281738534e-01,2.686984265884158991e-04,2.662104379878905025e+00,-8.033498108135978200e+00,-9.969711880731187137e-02,2.109808662334120288e-01,0.000000000000000000e+00
7.010489513599649225e-01,1.157007960915294564e+00,5.719570593496862705e-05,1.962296886280712860e+00,-8.201426340271694926e+00,3.570586583647064050e-01,-6.135476887914006472e-01,0.000000000000000000e+00
7.004184517418163836e-01,1.030222033732761111e-01,3.442825345604510882e-04,1.890482674599477386e+00,-8.279755055478331016e+00,1.339527412855578414e-01,-2.418695619764565652e-01,0.000000000000000000e+00
6.996698576126724189e-01,2.832687184367520539e-01,1.482117357859745281e-04,7.461014557922256429e-01,-8.283389123884747463e+00,1.401084609303301920e-01,-2.525902361174164334e-01,0.000000000000000000e+00
6.995324317253734936e-01,6.612959667751368287e-02,3.910509607878753574e-04,1.502810100077911271e+00,-8.207957503983077885e+00,1.177505824001224277e-01,-1.997872968219992496e-01,0.000000000000000000e+00
7.003688557660594505e-01,4.259248110007744087e-02,4.168542534624744013e-04,1.457497420230515539e+00,-7.685044411933489528e+00,-1.650141931151521968e-02,1.327084151122806810e-01,0.000000000000000000e+00
6.996457511840935561e-01,9.518920419870949279e-02,3.591600044273879507e-04,1.515874223901623630e+00,-8.404749837653811895e+00,-1.610410171830074511e-01,2.455998049263751482e-01,0.000000000000000000e+00
6.987748888280231885e-01,8.029706071911704712e-02,3.874215730217011504e-04,1.436189710163899624e+00,-8.674240097548800321e+00,-2.164963436354910009e-01,2.901502040996488119e-01,0.000000000000000000e+00
